# Time-averaged data for fix tempave
# TimeStep v_t v_v v_m
200000 622.866 134470 89626.8
400000 615.253 133545 89626.8
600000 607.551 131319 89626.8
800000 600.098 131386 89626.8
1000000 592.638 130848 89626.8
1200000 584.527 131670 89626.8
1400000 576.997 131392 89626.8
1600000 569.313 130214 89626.8
1800000 562.125 129898 89626.8
2000000 554.073 129462 89626.8
2200000 546.492 129250 89626.8
2400000 539.152 128771 89626.8
2600000 531.673 128455 89626.8
2800000 523.825 128554 89626.8
3000000 516.6 128239 89626.8
3200000 508.551 128584 89626.8
3400000 501.236 127580 89626.8
3600000 493.742 128354 89626.8
3800000 485.904 127489 89626.8
4000000 478.438 127372 89626.8
4200000 471.103 126624 89626.8
4400000 463.11 126974 89626.8
4600000 455.43 126445 89626.8
4800000 447.976 126436 89626.8
5000000 440.412 126443 89626.8
5200000 432.911 126105 89626.8
5400000 425.239 125798 89626.8
5600000 417.488 126162 89626.8
5800000 410.183 125368 89626.8
6000000 402.277 125142 89626.8
6200000 394.893 124888 89626.8
6400000 387.109 124909 89626.8
6600000 379.653 124175 89626.8
6800000 372.063 124072 89626.8
7000000 364.386 124295 89626.8
7200000 356.645 123961 89626.8
7400000 349.4 123724 89626.8
7600000 341.493 123842 89626.8
7800000 334.151 123521 89626.8
8000000 326.408 122712 89626.8
8200000 318.962 123172 89626.8
8400000 310.945 122352 89626.8
8600000 303.608 122585 89626.8
8800000 295.984 122384 89626.8
9000000 288.376 122257 89626.8
9200000 280.669 121915 89626.8
9400000 272.999 121675 89626.8
9600000 265.722 121792 89626.8
9800000 258.084 121676 89626.8
10000000 250.38 121389 89626.8
